_id,num_episodes,title
484,1,Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka
485,26,Damekko Doubutsu
492,1,Armitage III: Dual-Matrix
487,13,Girls Bravo: Second Season
489,12,Kamichu!
486,13,Kino no Tabi: The Beautiful World
488,12,Ichigo Mashimaro
495,26,Bakuretsu Hunters
496,1,Kamui no Ken
493,1,Armitage III: Poly-Matrix
497,13,Yami to Boushi to Hon no Tabibito
498,3,Haja Taisei Dangaiou
483,24,Kurau Phantom Memory
499,1,Makai Toshi Shinjuku
482,180,Yu☆Gi☆Oh!: Duel Monsters GX
490,26,Paniponi Dash!
478,26,Sousei no Aquarion
476,12,Ginban Kaleidoscope
481,224,Yu☆Gi☆Oh! Duel Monsters
475,1,Hotori: Tada Saiwai wo Koinegau
477,13,Aria The Animation
474,4,Macross Plus
479,51,Ueki no Housoku
473,12,Tide-Line Blue
472,13,To Heart
470,13,Okusama wa Joshikousei (TV)
471,13,To Heart 2
469,24,Karin
468,1,Ghost in the Shell 2: Innocence
466,1,One Piece: Taose! Kaizoku Ganzack
467,26,Ghost in the Shell: Stand Alone Complex
463,1,One Piece Movie 5: Norowareta Seiken
462,1,One Piece Movie 4: Dead End no Bouken
464,1,One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima
461,1,One Piece Movie 3: Chinjuu-jima no Chopper Oukoku
465,1,One Piece Movie 7: Karakuri-jou no Mecha Kyohei
460,1,One Piece Movie 2: Nejimaki-jima no Daibouken
458,3,Buttobi!! CPU
459,1,One Piece Movie 1
457,26,Mushishi
456,26,Gokujou Seitokai
455,26,Fantastic Children
452,1,InuYasha: Toki wo Koeru Omoi
450,1,InuYasha: Kagami no Naka no Mugenjo
449,1,InuYasha: Guren no Houraijima
451,1,InuYasha: Tenka Hadou no Ken
454,1,.hack//Gift
448,2,Tenjou Tenge: The Ultimate Fight
446,13,Weiß Kreuz Glühen
445,13,Tales of Eternia The Animation
444,13,Maria-sama ga Miteru: Haru
447,25,Weiß Kreuz
442,1,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!
441,1,Shoujo Kakumei Utena: Adolescence Mokushiroku
439,2,RG Veda
440,39,Shoujo Kakumei Utena
438,3,Phantom The Animation
443,1,Onegai☆Teacher: Himitsu na Futari
435,20,Magic Knight Rayearth
437,1,Perfect Blue
434,1,Legend of Lemnear: Kyokuguro no Tsubasa Valkisas
432,6,Iria: Zeiram The Animation
431,1,Howl no Ugoku Shiro
430,1,Fullmetal Alchemist: The Conqueror of Shamballa
433,1,"Kumo no Mukou, Yakusoku no Basho"
428,1,Kaleido Star: Aratanaru Tsubasa - Extra Stage
429,1,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari
426,4,Final Fantasy
425,2,Shiritsu Araiso Koutougakkou Seitokai Shikkoubu
427,51,Kaleido Star
423,6,Stratos 4 Advance
421,13,Stratos 4
420,1,Spriggan
422,2,Stratos 4 OVA
424,24,Dirty Pair
419,26,Samurai Deeper Kyou
418,1,Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!
417,26,Ragnarök The Animation
415,1,Tonari no Yamada-kun
416,1,Kurenai no Buta
411,26,Gun x Sword
413,1,Hametsu no Mars
